peak_id,gene_short_name
chr10_10310180_10310801,mir219-1
chr10_10312859_10313495,urm1
chr10_10318849_10319647,mir219-1
chr10_10330104_10330873,mir219-1
chr10_10606693_10607055,dbh
chr10_10728382_10729336,swi5
chr10_10738261_10739726,slc27a4
chr10_10788293_10788877,ptgdsa
chr10_10801175_10801847,ambp
chr10_10862822_10864555,nrarpa
chr10_109031_111176,pigp
chr10_10972176_10973134,cdc37l1
chr10_11010636_11012108,ak3
chr10_11037011_11039010,ugcg
chr10_11264115_11264673,hsdl2
chr10_11265130_11265903,hsdl2
chr10_11322530_11323327,inip
chr10_11323917_11324386,inip
chr10_11352523_11353236,lin54
chr10_11355567_11356497,cops4
chr10_11396996_11398284,srek1ip1
chr10_11767567_11767935,ppwd1
chr10_1179867_1180835,bmpr1bb
chr10_11839804_11840639,trim23
chr10_11841209_11841451,trim23
chr10_119950_120724,ripply3
chr10_121307_121552,ripply3
chr10_1275258_1275939,pdlim5b
chr10_12999886_13000110,lpar1
chr10_13000371_13001150,lpar1
chr10_13115965_13116330,musk
chr10_13178602_13179150,musk
chr10_13209012_13209876,rassf6
chr10_13238879_13239521,si:busm1-57f23.1
chr10_13240368_13240747,si:busm1-57f23.1
chr10_13278535_13279724,tmem267
chr10_13283294_13283827,tmem267
chr10_13396066_13397414,LOC556326
chr10_13396066_13397414,il11ra
chr10_13771714_13773234,cntfr
chr10_1396705_1397384,gdnfa
chr10_14487563_14488945,galt
chr10_14487563_14488945,sigmar1
chr10_14498945_14499749,katnal2
chr10_14539913_14540863,hdhd2
chr10_14545156_14546072,ier3ip1
chr10_14669_15141,tiprl
chr10_14928750_14930407,smad2
chr10_15106253_15107245,scpp8
chr10_15107525_15107889,scpp8
chr10_15128629_15128926,spp1
chr10_15129618_15129882,spp1
chr10_15254546_15256136,vldlr
chr10_15339709_15341181,pum3
chr10_15339709_15341181,trappc13
chr10_15404850_15405654,sgtb
chr10_15408153_15409086,nln
chr10_15413_16776,tiprl
chr10_15454705_15456218,erbin
chr10_15602569_15603465,zfand5b
chr10_15644023_15645081,smc5
chr10_15853827_15855182,tjp2a
chr10_15878840_15879714,tjp2a
chr10_15880281_15881082,tjp2a
chr10_15919082_15919975,pip5k1ba
chr10_15954010_15954776,mir23b
chr10_15954010_15954776,mir27d
chr10_15959557_15960358,mir24-1
chr10_15960683_15961056,mir24-1
chr10_16027357_16028186,aldh7a1
chr10_16028920_16029492,aldh7a1
chr10_16028920_16029492,phax
chr10_16035716_16037577,lmnb1
chr10_16164865_16165823,prrc1
chr10_16225256_16227042,slc12a2
chr10_1635936_1636552,nup155
chr10_16500582_16500849,slc27a6
chr10_16501301_16502322,slc27a6
chr10_16546699_16548575,isoc1
chr10_16591985_16593404,chsy3
chr10_167538_167920,erg
chr10_1680503_1682008,triap1
chr10_168153_168397,erg
chr10_16867881_16868486,stoml2
chr10_1696222_1698084,srsf9
chr10_17082793_17083767,fam166b
chr10_17159672_17159871,slc5a1
chr10_17160432_17160655,slc5a1
chr10_17168640_17170560,ywhah
chr10_1717194_1718548,si:ch73-46j18.5
chr10_17231803_17232716,rab36
chr10_17371427_17373011,sppl3
chr10_17454397_17455408,mir301c
chr10_17484198_17485036,nt5c2l1
chr10_17502465_17502995,slc2a11l
chr10_17550044_17551234,ska1
chr10_17587362_17587946,smarcad1b
chr10_17588580_17589285,smarcad1b
chr10_17680677_17681795,drg1
chr10_17713820_17714065,slc20a1b
chr10_17714253_17714686,slc20a1b
chr10_17776367_17777349,ccl19b
chr10_17936175_17937011,prkab1a
chr10_1826854_1827817,epb41l4a
chr10_187251_188785,ets2
chr10_18876983_18877658,ppp2r2ab
chr10_18910623_18911658,bnip3lb
chr10_18951958_18953854,dpysl2b
chr10_19016923_19017588,tmem230a
chr10_19524900_19525170,vsig8a
chr10_19525524_19525972,vsig8a
chr10_1960921_1961947,tdgf1
chr10_20069412_20070929,xpo7
chr10_20105061_20106285,pbdc1
chr10_20107125_20107771,dmtn
chr10_20108296_20108929,dmtn
chr10_20179771_20180808,ppp3ccb
chr10_20356272_20357076,sfrp1b
chr10_20363705_20364750,golga7
chr10_20445284_20445885,loxl2a
chr10_20536042_20537212,plpp5
chr10_20537401_20538421,plpp5
chr10_20638552_20639305,sprn2
chr10_20705295_20706302,kcnip3b
chr10_20706896_20707346,kcnip3b
chr10_210211_212155,psmg1
chr10_213417_214054,mpzl1l
chr10_21361402_21362307,avd
chr10_21395054_21395901,trpc7a
chr10_21434486_21435683,etf1b
chr10_21444230_21445413,fbxw11b
chr10_21483755_21484963,fgf18b
chr10_21558493_21558839,pcdh1a3
chr10_21559382_21559612,pcdh1a3
chr10_21563670_21564057,pcdh1a4
chr10_21576698_21576897,pcdh1a6
chr10_21650648_21650847,pcdh1g1
chr10_21656264_21656604,pcdh1g2
chr10_21660204_21660530,pcdh1g3
chr10_21676773_21676972,pcdh1gb2
chr10_21701337_21701597,pcdh1g9
chr10_21707273_21707648,pcdh1g11
chr10_21708125_21708773,pcdh1g11
chr10_21718135_21718409,pcdh1gb9
chr10_21737318_21737782,pcdh1g18
chr10_21775662_21776234,pcdh1g22
chr10_21783014_21783225,pcdh1g33
chr10_21786343_21786829,pcdh1g26
chr10_21789029_21789286,pcdh1gc5
chr10_21789623_21790128,pcdh1gc5
chr10_21793221_21793834,pcdh1gc6
chr10_21796970_21797243,pcdh1g29
chr10_21800466_21801169,pcdh1g30
chr10_21806489_21806722,pcdh1g32
chr10_21806886_21807545,pcdh1g32
chr10_21807893_21809845,pcdh1g32
chr10_21823_23274,riox2
chr10_21866392_21867044,cbln17
chr10_21867152_21867593,cbln17
chr10_22003234_22003877,kcnip1b
chr10_22012119_22013192,kcnip1b
chr10_22033460_22035243,npm1a
chr10_22087170_22087417,ugt5g2
chr10_22147773_22149182,cldn7b
chr10_22149400_22150557,cldn7b
chr10_22380828_22381401,nlgn2b
chr10_22381771_22382256,nlgn2b
chr10_22505084_22506266,zgc:172339
chr10_22723449_22724909,kdm6bb
chr10_22771053_22771330,tmem88a
chr10_22771865_22772210,tmem88a
chr10_22781777_22783120,si:ch211-237l4.6
chr10_22803291_22803970,pcolcea
chr10_22828039_22828259,per1a
chr10_22845267_22846237,vamp2
chr10_22853924_22855569,and3
chr10_22853924_22855569,ap4m1
chr10_22890801_22892070,arrb2a
chr10_22911560_22912624,med11
chr10_22917644_22918848,rnasekb
chr10_22917644_22918848,zgc:103508
chr10_23060039_23061054,slc25a1a
chr10_23099351_23100733,nle1
chr10_23908472_23909632,cadm2a
chr10_24391552_24391972,slc43a2b
chr10_24392265_24392715,slc43a2b
chr10_24421488_24422464,paxbp1
chr10_24647957_24648156,stoml3b
chr10_24658990_24660422,vps36
chr10_24690170_24690945,tpte
chr10_24723438_24724519,smpd1
chr10_24758578_24759786,ilk
chr10_24760265_24760506,ilk
chr10_24765311_24766082,timm10b
chr10_24766340_24767080,timm10b
chr10_25028042_25028670,cd209
chr10_25068257_25069338,mtnr1bb
chr10_25204460_25206166,chordc1b
chr10_25222269_25222770,grm5a
chr10_25327690_25329467,tmem135
chr10_25342244_25343127,cct8
chr10_25369342_25370830,bach1b
chr10_25698556_25699874,sod1
chr10_2581454_2582737,nxnl2
chr10_25823658_25823898,ftr54
chr10_25851584_25852511,trpc4a
chr10_25853115_25853746,trpc4a
chr10_25947046_25948440,ufm1
chr10_25982064_25982904,frem2a
chr10_26117383_26118946,trim47
chr10_26163449_26164337,trim3b
chr10_26202256_26202913,fhdc3
chr10_26224394_26225767,arfip2b
chr10_26514989_26515234,synj1
chr10_26515736_26516483,synj1
chr10_26570759_26571595,slc9a6b
chr10_26597435_26598313,fhl1b
chr10_26652037_26653377,htatsf1
chr10_26688815_26689626,tmtops3b
chr10_2669156_2669423,ccl27b
chr10_26737284_26737500,fgf13b
chr10_26742889_26744278,fgf13b
chr10_2681351_2682513,pdxp
chr10_2682965_2683335,pdxp
chr10_26926270_26927010,rab1bb
chr10_26971934_26973530,tm7sf2
chr10_26984890_26985370,znhit2
chr10_26989079_26990419,faub
chr10_27008748_27009616,uqcc3
chr10_27046213_27046848,cnih2
chr10_27052037_27053344,wdr74
chr10_27062439_27063481,mir194a
chr10_27068049_27070112,ehd1b
chr10_27095526_27096236,cxadr
chr10_2712568_2713513,mier3a
chr10_2787652_2789515,ash2l
chr10_2798831_2799541,pnx
chr10_28027950_28029340,ints2
chr10_2806214_2807482,aebp1
chr10_28116636_28117999,med13a
chr10_28159905_28160385,rnft1
chr10_28198260_28199454,mir21-1
chr10_28305982_28306911,ptrh2
chr10_28367941_28369664,cltca
chr10_28379725_28381099,btg3
chr10_28381616_28381895,btg3
chr10_2840321_2841785,ykt6
chr10_2875277_2877178,ddx56
chr10_28834961_28835943,alcama
chr10_29120401_29121022,zpld1a
chr10_29137549_29138798,picalma
chr10_29235991_29237016,ccdc83
chr10_29271363_29273243,tmem126a
chr10_29273705_29273933,tmem126a
chr10_29339102_29339406,dlg2
chr10_2942277_2943356,oclna
chr10_29744087_29745037,ift46
chr10_29768047_29768648,vps11
chr10_29769385_29771179,hyou1
chr10_29769385_29771179,vps11
chr10_29815365_29817482,h2afx1
chr10_29815365_29817482,hist2h2l
chr10_29831193_29832914,zpr1
chr10_29848606_29849636,hspa8
chr10_29854148_29855865,jhy
chr10_29892187_29892961,bsx
chr10_29902993_29903415,lim2.1
chr10_29963314_29964179,ntm
chr10_301950_303194,emsy
chr10_30784820_30785590,opcml
chr10_309306_310091,wu:fj39h09
chr10_3111356_3111652,ckmt2a
chr10_31175581_31176701,pknox2
chr10_31222461_31223399,tmem218
chr10_31440367_31441174,robo3
chr10_3145275_3147283,hic2
chr10_31562565_31563287,robo3
chr10_31645439_31646173,esama
chr10_31782457_31783184,fez1
chr10_31804737_31806035,vps26bl
chr10_31808529_31809823,foxo1b
chr10_31950862_31951611,lhfpl6
chr10_32058161_32059717,thap12a
chr10_32103940_32104755,wnt11r
chr10_322108_322974,akt2l
chr10_32493213_32494580,uvrag
chr10_32523614_32524405,dgat2
chr10_32558679_32558912,mogat2
chr10_3257736_3258008,pi4kaa
chr10_32610135_32611021,mogat2
chr10_32611586_32612174,mogat2
chr10_32660086_32660872,atg101
chr10_32663002_32664089,rad51c
chr10_32682727_32683577,ppm1e
chr10_32877101_32877347,rabgef1
chr10_32889605_32890769,kctd7
chr10_3294352_3295324,slc25a1b
