peak_id,gene_short_name
chr10_10310179_10310817,mir219-1
chr10_10312862_10313444,urm1
chr10_10318852_10319630,mir219-1
chr10_10330118_10330867,mir219-1
chr10_10606697_10607045,dbh
chr10_10728383_10729331,swi5
chr10_10738392_10739712,slc27a4
chr10_10788308_10788868,ptgdsa
chr10_10801486_10801871,ambp
chr10_10862823_10864560,nrarpa
chr10_109086_111189,pigp
chr10_10972164_10973107,cdc37l1
chr10_11010615_11012123,ak3
chr10_11037286_11039005,ugcg
chr10_11264143_11264384,hsdl2
chr10_11265129_11265904,hsdl2
chr10_11322555_11323342,inip
chr10_11323880_11324401,inip
chr10_11352542_11353238,lin54
chr10_11355702_11356273,cops4
chr10_11397098_11398278,srek1ip1
chr10_11767561_11768004,ppwd1
chr10_1179901_1180771,bmpr1bb
chr10_11839811_11840657,trim23
chr10_11841207_11841442,trim23
chr10_120043_120723,ripply3
chr10_1275285_1275943,pdlim5b
chr10_13000392_13001147,lpar1
chr10_13115951_13116332,musk
chr10_13178601_13179142,musk
chr10_13209012_13209283,rassf6
chr10_13209452_13209854,rassf6
chr10_13238850_13239532,si:busm1-57f23.1
chr10_13240342_13240651,si:busm1-57f23.1
chr10_13278543_13279537,tmem267
chr10_13283388_13283714,tmem267
chr10_13396174_13396906,LOC556326
chr10_13396174_13396906,il11ra
chr10_13397166_13397473,LOC556326
chr10_13771713_13773237,cntfr
chr10_1396715_1397423,gdnfa
chr10_14487564_14488936,galt
chr10_14487564_14488936,sigmar1
chr10_14499084_14499721,katnal2
chr10_14539914_14540771,hdhd2
chr10_14545264_14545795,ier3ip1
chr10_14667_15095,tiprl
chr10_14928744_14930400,smad2
chr10_15107126_15107465,scpp8
chr10_15128684_15128945,spp1
chr10_15129574_15129908,spp1
chr10_15254688_15256107,vldlr
chr10_15339857_15341282,pum3
chr10_15339857_15341282,trappc13
chr10_15340_16781,tiprl
chr10_15404978_15405641,sgtb
chr10_15408167_15409338,nln
chr10_15454715_15456220,erbin
chr10_15602569_15603391,zfand5b
chr10_15644048_15645079,smc5
chr10_15645798_15646000,smc5
chr10_15854268_15855191,tjp2a
chr10_15878843_15879694,tjp2a
chr10_15919163_15919964,pip5k1ba
chr10_15954018_15954758,mir23b
chr10_15954018_15954758,mir27d
chr10_15959160_15959919,mir24-1
chr10_15960115_15960340,mir24-1
chr10_15960702_15961037,mir24-1
chr10_16027377_16028190,aldh7a1
chr10_16028926_16029548,aldh7a1
chr10_16028926_16029548,phax
chr10_16035727_16037715,lmnb1
chr10_16164907_16165970,prrc1
chr10_16225246_16227015,slc12a2
chr10_1635926_1636548,nup155
chr10_16500587_16500820,slc27a6
chr10_16501288_16502330,slc27a6
chr10_16546691_16548543,isoc1
chr10_16592002_16593402,chsy3
chr10_167538_167851,erg
chr10_1680510_1682000,triap1
chr10_168111_168426,erg
chr10_16867892_16868490,stoml2
chr10_1696388_1697205,srsf9
chr10_1697503_1698084,srsf9
chr10_17082793_17083771,fam166b
chr10_17159521_17159964,slc5a1
chr10_17160448_17160647,slc5a1
chr10_17168639_17170560,ywhah
chr10_1717219_1718561,si:ch73-46j18.5
chr10_17231798_17232719,rab36
chr10_17371542_17372990,sppl3
chr10_17453310_17453537,mir130c-1
chr10_17453310_17453537,mir301c
chr10_17454422_17455387,mir301c
chr10_17484203_17484961,nt5c2l1
chr10_17550038_17551362,ska1
chr10_17587366_17587956,smarcad1b
chr10_17588603_17589171,smarcad1b
chr10_17680687_17681785,drg1
chr10_17712970_17714637,slc20a1b
chr10_17776357_17777334,ccl19b
chr10_17936174_17937033,prkab1a
chr10_1826831_1827820,epb41l4a
chr10_187558_188774,ets2
chr10_18876968_18877662,ppp2r2ab
chr10_18910658_18911643,bnip3lb
chr10_18951931_18953840,dpysl2b
chr10_19016925_19017445,tmem230a
chr10_19524745_19525119,vsig8a
chr10_19525586_19525892,vsig8a
chr10_1961052_1961936,tdgf1
chr10_20069474_20070929,xpo7
chr10_20105352_20106277,pbdc1
chr10_20107248_20107768,dmtn
chr10_20108062_20108934,dmtn
chr10_20179878_20180840,ppp3ccb
chr10_20356237_20357128,sfrp1b
chr10_20363826_20364703,golga7
chr10_20445253_20445542,loxl2a
chr10_20536108_20538112,plpp5
chr10_20638557_20639307,sprn2
chr10_20705182_20706298,kcnip3b
chr10_20706808_20707247,kcnip3b
chr10_210211_212153,psmg1
chr10_213435_214036,mpzl1l
