peak_id,gene_short_name
chr10_10310189_10310803,mir219-1
chr10_10312854_10313540,urm1
chr10_10318846_10319619,mir219-1
chr10_10330089_10330861,mir219-1
chr10_10333261_10333775,mir219-1
chr10_10339394_10339818,mir219-1
chr10_10606710_10607207,dbh
chr10_10728367_10729347,swi5
chr10_10738242_10739712,slc27a4
chr10_10788313_10788869,ptgdsa
chr10_10801499_10801849,ambp
chr10_10862812_10864553,nrarpa
chr10_109065_111189,pigp
chr10_10972171_10973134,cdc37l1
chr10_11010647_11012125,ak3
chr10_11037339_11039014,ugcg
chr10_11264142_11264672,hsdl2
chr10_11265142_11265899,hsdl2
chr10_11322537_11323348,inip
chr10_11352526_11353238,lin54
chr10_11355704_11356589,cops4
chr10_11396953_11398417,cwc27
chr10_11396953_11398417,srek1ip1
chr10_11767561_11768061,ppwd1
chr10_1179885_1180819,bmpr1bb
chr10_11839787_11840644,trim23
chr10_11841233_11841459,trim23
chr10_119947_120717,ripply3
chr10_121333_121532,ripply3
chr10_1275271_1275937,pdlim5b
chr10_12955811_12956375,lpar1
chr10_13000257_13001379,lpar1
chr10_13115965_13116346,musk
chr10_13117249_13117503,musk
chr10_13178638_13179120,musk
chr10_13209012_13209852,rassf6
chr10_13238861_13239532,si:busm1-57f23.1
chr10_13278543_13279738,tmem267
chr10_13283418_13283763,tmem267
chr10_13396055_13396963,LOC556326
chr10_13396055_13396963,il11ra
chr10_13771708_13773236,cntfr
chr10_1396699_1397404,gdnfa
chr10_14487557_14488937,galt
chr10_14487557_14488937,sigmar1
chr10_14499062_14499721,katnal2
chr10_14539912_14540788,hdhd2
chr10_14545142_14545937,ier3ip1
chr10_14546335_14546705,ier3ip1
chr10_14664_15125,tiprl
chr10_14928753_14930396,smad2
chr10_15106335_15106980,scpp8
chr10_15128682_15128915,spp1
chr10_15129566_15129984,spp1
chr10_15254567_15256113,vldlr
chr10_15339707_15341287,pum3
chr10_15339707_15341287,trappc13
chr10_15404868_15405644,sgtb
chr10_15408083_15409090,nln
chr10_15439_16741,tiprl
chr10_15454703_15456224,erbin
chr10_15602679_15603466,zfand5b
chr10_15644027_15645080,smc5
chr10_15645648_15645963,smc5
chr10_15853835_15855210,tjp2a
chr10_15878806_15879711,tjp2a
chr10_15919130_15919967,pip5k1ba
chr10_15953969_15954809,mir23b
chr10_15953969_15954809,mir27d
chr10_15959816_15960340,mir24-1
chr10_15960678_15961101,mir24-1
chr10_16027375_16028190,aldh7a1
chr10_16028904_16029545,aldh7a1
chr10_16028904_16029545,phax
chr10_16035714_16037771,lmnb1
chr10_16164669_16166289,prrc1
chr10_16225255_16227035,slc12a2
chr10_1635933_1636552,nup155
chr10_16500641_16500847,slc27a6
chr10_16501193_16502339,slc27a6
chr10_16546702_16548638,isoc1
chr10_16591854_16593380,chsy3
chr10_167566_168436,erg
chr10_1680577_1682010,triap1
chr10_16867889_16868491,stoml2
chr10_1696223_1698076,srsf9
chr10_17082603_17084061,fam166b
chr10_17159396_17159772,slc5a1
chr10_17168634_17170767,ywhah
chr10_1717207_1718543,si:ch73-46j18.5
chr10_17231791_17232721,rab36
chr10_17371420_17373024,sppl3
chr10_17452961_17453828,mir130c-1
chr10_17452961_17453828,mir301c
chr10_17454400_17455389,mir301c
chr10_17484194_17484936,nt5c2l1
chr10_17502469_17503033,slc2a11l
chr10_17550025_17551362,ska1
chr10_17587353_17587956,smarcad1b
chr10_17588580_17589156,smarcad1b
chr10_17680661_17681807,drg1
chr10_17712975_17714655,slc20a1b
chr10_17776357_17777313,ccl19b
chr10_17936149_17937031,prkab1a
chr10_1826859_1827827,epb41l4a
chr10_187273_188797,ets2
chr10_18876973_18877677,ppp2r2ab
chr10_18910572_18911658,bnip3lb
chr10_18951947_18953857,dpysl2b
chr10_19016780_19017573,tmem230a
chr10_19524880_19525130,vsig8a
chr10_19525508_19525926,vsig8a
chr10_1961051_1961936,tdgf1
chr10_20069412_20070967,xpo7
chr10_20105054_20106281,pbdc1
chr10_20107168_20107768,dmtn
chr10_20108087_20108917,dmtn
chr10_20179775_20180710,ppp3ccb
chr10_20356257_20357113,sfrp1b
chr10_20363661_20364755,golga7
chr10_20445284_20445888,loxl2a
chr10_20536099_20538029,plpp5
chr10_20638552_20639318,sprn2
chr10_20705259_20706309,kcnip3b
chr10_20706990_20707345,kcnip3b
chr10_210161_212153,psmg1
chr10_213379_214061,mpzl1l
chr10_21361404_21362262,avd
chr10_21395041_21395240,trpc7a
chr10_21434477_21435698,etf1b
chr10_21444226_21445418,fbxw11b
chr10_21483773_21485371,fgf18b
chr10_21558497_21558703,pcdh1a3
chr10_21559396_21559640,pcdh1a3
chr10_21563793_21564040,pcdh1a4
chr10_21576693_21576954,pcdh1a6
chr10_21637880_21638759,pcdh1g32
chr10_21650415_21650851,pcdh1g1
chr10_21656257_21656671,pcdh1g2
chr10_21660214_21660699,pcdh1g3
chr10_21676719_21677044,pcdh1gb2
chr10_21701401_21701600,pcdh1g9
chr10_21707283_21707699,pcdh1g11
chr10_21708130_21708347,pcdh1g11
chr10_21717685_21717936,pcdh1gb9
chr10_21718094_21718589,pcdh1gb9
chr10_21737311_21737927,pcdh1g18
chr10_21775644_21776234,pcdh1g22
chr10_21783024_21783278,pcdh1g33
chr10_21786340_21786582,pcdh1g26
chr10_21789623_21789925,pcdh1gc5
chr10_21793228_21793645,pcdh1gc6
chr10_21796994_21797245,pcdh1g29
chr10_21800453_21801019,pcdh1g30
chr10_21806500_21806744,pcdh1g32
chr10_21807026_21809673,pcdh1g32
chr10_21827774_21828338,pcdh1g32
chr10_21851229_21852485,pcdh1g32
chr10_21866388_21867082,cbln17
chr10_21867194_21867579,cbln17
chr10_21884_23315,riox2
chr10_22003288_22003820,kcnip1b
chr10_22012128_22013174,kcnip1b
chr10_22033434_22035402,npm1a
chr10_22087177_22087391,ugt5g2
chr10_22147808_22148397,cldn7b
chr10_22148623_22150526,cldn7b
chr10_22153034_22153734,cldn7b
chr10_22380892_22381182,nlgn2b
chr10_22381821_22382374,nlgn2b
chr10_22505375_22506253,zgc:172339
chr10_22723368_22724920,kdm6bb
chr10_22770810_22771300,tmem88a
chr10_22771894_22772212,tmem88a
chr10_22782060_22783223,si:ch211-237l4.6
chr10_22803290_22803970,pcolcea
chr10_22845241_22846243,vamp2
chr10_22853876_22855578,and3
chr10_22853876_22855578,ap4m1
chr10_22890808_22892040,arrb2a
chr10_22911551_22912577,med11
chr10_22917587_22918860,rnasekb
chr10_22917587_22918860,zgc:103508
chr10_23060035_23061181,slc25a1a
chr10_23099317_23100712,nle1
chr10_23908478_23909612,cadm2a
chr10_24391544_24392725,slc43a2b
chr10_24421306_24422515,paxbp1
chr10_24647954_24648305,stoml3b
chr10_24658992_24660422,vps36
chr10_24690194_24691006,tpte
chr10_24723631_24724532,smpd1
chr10_24758737_24759774,ilk
chr10_24760233_24760487,ilk
chr10_24765394_24767095,timm10b
chr10_25028106_25028644,cd209
chr10_25068284_25069335,mtnr1bb
chr10_25204483_25206167,chordc1b
chr10_25217300_25217689,kpna7
chr10_25327690_25329456,tmem135
chr10_25342125_25343420,cct8
chr10_25369343_25370832,bach1b
chr10_25698556_25699898,sod1
chr10_25726124_25726799,ugt5d1
chr10_2581479_2582769,nxnl2
chr10_25822714_25823182,ftr54
chr10_25853106_25853884,trpc4a
chr10_25947622_25949382,ufm1
chr10_25981995_25982948,frem2a
chr10_26117413_26118959,trim47
chr10_26163457_26164345,trim3b
chr10_26202256_26203427,fhdc3
chr10_26224383_26225778,arfip2b
chr10_26514981_26515257,synj1
chr10_26515738_26516549,synj1
chr10_26570747_26571596,slc9a6b
chr10_26597451_26598311,fhl1b
chr10_26652393_26653832,htatsf1
chr10_26688826_26689619,tmtops3b
chr10_2669076_2669386,ccl27b
chr10_26737354_26737741,fgf13b
chr10_26742694_26744287,fgf13b
chr10_2681345_2682513,pdxp
chr10_2682904_2683337,pdxp
chr10_26926272_26927000,rab1bb
chr10_26971848_26973520,tm7sf2
chr10_26984891_26985401,znhit2
chr10_26989098_26990431,faub
chr10_27008753_27009622,uqcc3
chr10_27046199_27046850,cnih2
chr10_27052074_27053342,wdr74
chr10_27062428_27063448,mir194a
chr10_27068029_27069947,ehd1b
chr10_27095524_27096245,cxadr
chr10_2712568_2713530,mier3a
chr10_2787788_2789511,ash2l
chr10_2798829_2799545,pnx
chr10_28027957_28029634,ints2
chr10_2806158_2808104,aebp1
chr10_28116392_28117990,med13a
chr10_28159597_28162138,rnft1
chr10_28198259_28199440,mir21-1
chr10_28305949_28306936,ptrh2
chr10_28367930_28369662,cltca
chr10_28379650_28381108,btg3
chr10_28381480_28381907,btg3
chr10_2840302_2841836,ykt6
chr10_2875273_2877048,ddx56
chr10_28834013_28835938,alcama
chr10_29120426_29120984,zpld1a
chr10_29137549_29138803,picalma
chr10_29235986_29237024,ccdc83
chr10_29271365_29273228,tmem126a
chr10_29273597_29273860,tmem126a
chr10_29339100_29339373,dlg2
chr10_2942268_2943360,oclna
chr10_29744101_29745037,ift46
chr10_29768037_29768656,vps11
chr10_29769405_29771182,hyou1
chr10_29769405_29771182,vps11
chr10_29815341_29817450,h2afx1
chr10_29815341_29817450,hist2h2l
chr10_29831198_29832834,zpr1
chr10_29848656_29849633,hspa8
chr10_29854144_29855899,jhy
chr10_29892160_29892958,bsx
chr10_29902993_29903410,lim2.1
chr10_29963319_29964201,ntm
chr10_301945_303428,emsy
chr10_30784908_30785589,opcml
chr10_309239_310101,wu:fj39h09
chr10_3111260_3111675,ckmt2a
chr10_31175646_31176653,pknox2
chr10_31222456_31223399,tmem218
chr10_31440341_31441289,robo3
chr10_3145272_3147328,hic2
chr10_31562542_31563311,robo3
chr10_31645418_31646230,esama
chr10_31782455_31783102,fez1
chr10_31804737_31806032,vps26bl
chr10_31808695_31809810,foxo1b
chr10_31950897_31951618,lhfpl6
chr10_32058220_32059670,thap12a
chr10_32103940_32104761,wnt11r
chr10_322073_323009,akt2l
chr10_32493265_32494578,uvrag
chr10_32494779_32495063,uvrag
chr10_32523605_32524406,dgat2
chr10_32558369_32559249,mogat2
chr10_32610301_32611132,mogat2
chr10_32611588_32612172,mogat2
chr10_32660107_32660882,atg101
chr10_32662873_32664114,rad51c
