celsr1b	ZDB-GENE-050823-4
tubgcp5	ZDB-GENE-050522-344
skp2	ZDB-GENE-030219-158
CU611053.1	
BX255913.2	
crabp1a	ZDB-GENE-020320-3
zgc:112964	ZDB-GENE-050306-47
BX005101.2	
tsen34	ZDB-GENE-050419-115
adrb3b	ZDB-GENE-081022-154
CT737123.2	
si:dkey-218h11.6	
si:dkey-7i4.7	
hcrtr2	ZDB-GENE-070228-3
rab3ip	ZDB-GENE-050522-323
si:dkeyp-77c8.1	
si:dkey-20i20.10	
CU651595.2	
gzm3	ZDB-GENE-070912-132
si:ch211-145b13.6	ZDB-GENE-090313-36
CR762475.4	
CU929070.1	
igf1ra	ZDB-GENE-020503-1
vwa11	
rab42a	ZDB-GENE-040426-1983
tmem150c	ZDB-GENE-090112-5
AL845314.1	
BX511246.1	
znf750	ZDB-GENE-050417-313
CABZ01062797.1	
usp2a	ZDB-GENE-041212-59
tyrp1a	ZDB-GENE-070718-2
cep89	ZDB-GENE-040426-1210
ifit15	ZDB-GENE-030131-1055
cdc20	ZDB-GENE-040426-2044
dre-mir-204-2	ZDB-MIRNAG-081215-1
pde4ca	ZDB-GENE-070912-373
cyp7a1	ZDB-GENE-040426-1296
pwp1	ZDB-GENE-040426-1049
nacc1a	ZDB-GENE-010319-3
BX548160.2	
foxc1b	ZDB-GENE-010302-2
CABZ01034948.1	
arpc5a	ZDB-GENE-030131-8448
CR925744.1	
keap1b	ZDB-GENE-080508-1
adprm	ZDB-GENE-040426-1406
BX942837.1	
vav3a	
FP016005.1	
ephb4a	ZDB-GENE-990415-62
dnajc25	ZDB-GENE-081104-137
arhgdia	ZDB-GENE-040426-2816
man1b1b	ZDB-GENE-070705-482
slc1a3b	ZDB-GENE-090708-3
BX908782.1	
ngfra	ZDB-GENE-050928-1
btbd3a	ZDB-GENE-090312-7
dgkh	ZDB-GENE-070912-328
CU929115.1	
cerkl	ZDB-GENE-070410-38
tgm1	ZDB-GENE-030131-9032
si:dkey-197c15.6	ZDB-GENE-060810-147
cdh24a	
ndufb10	ZDB-GENE-040426-1691
si:ch211-117n7.7	ZDB-GENE-060503-569
si:ch211-14a11.1	
taar20q	ZDB-GENE-091116-85
chrm3b	ZDB-GENE-090410-5
asb14b	ZDB-GENE-090313-148
tjp2b	ZDB-GENE-040718-58
pex13	ZDB-GENE-040426-1544
cav2	ZDB-GENE-040625-164
poc1a	ZDB-GENE-040426-1993
apoea	ZDB-GENE-010724-18
FP015866.2	
vps72b	ZDB-GENE-100922-13
gsk3bb	ZDB-GENE-090312-2
nfil3-5	ZDB-GENE-030131-7677
cdkn1ca	ZDB-GENE-040123-1
lclat1	ZDB-GENE-081211-2
CT027756.3	
mmp20a	ZDB-GENE-100603-2
zgc:110329	ZDB-GENE-050417-334
kctd7	ZDB-GENE-060804-2
CU694808.1	
rspry1	ZDB-GENE-061026-2
zak	
si:dkey-23a13.22	ZDB-GENE-160113-78
blzf1	ZDB-GENE-010724-1
BX322552.1	
dpyda.3	
ppm1h	ZDB-GENE-061027-190
si:dkey-23c22.7	
si:dkey-85k15.6	ZDB-GENE-100922-216
ndufa7	ZDB-GENE-040801-169
si:ch73-78o10.1	
armc3	ZDB-GENE-110614-1
rnaset2l	ZDB-GENE-090819-2
abcb11a	ZDB-GENE-050517-13
si:ch211-9d9.7	
epha4l	ZDB-GENE-990415-61
tpm4b	ZDB-GENE-030131-2964
CR388413.3	
cdc34a	ZDB-GENE-040426-713
rnf2	ZDB-GENE-030131-5243
CABZ01057488.1	
stim1a	ZDB-GENE-060503-914
kalrnb	ZDB-GENE-060421-7244
CU570791.4	
zgc:153675	ZDB-GENE-061013-567
tmem79b	ZDB-GENE-120807-1
CU928153.1	
BX088688.1	
bub1	ZDB-GENE-081104-75
BX470218.1	
fhl1a	ZDB-GENE-040206-1
bag6	ZDB-GENE-010501-5
hnmt	ZDB-GENE-040801-157
tnni1a	ZDB-GENE-030616-266
cldn18	ZDB-GENE-130530-867
CABZ01057381.1	
zgc:194392	ZDB-GENE-030131-4774
dda1	ZDB-GENE-040426-2137
mrpl34	ZDB-GENE-070912-582
mmp14a	ZDB-GENE-030901-1
dhx9	ZDB-GENE-070912-171
dre-mir-143	
CT025913.1	
slc41a2b	ZDB-GENE-100427-2
CR559945.2	
ppp1r14ab	ZDB-GENE-040426-1783
armc4	
runx3	ZDB-GENE-000605-2
mpz	ZDB-GENE-010724-4
fam50a	ZDB-GENE-050417-110
cxcl11.1	ZDB-GENE-070907-2
ftr73	ZDB-GENE-090508-13
hnrnpdl	ZDB-GENE-040426-2717
si:ch73-263f13.1	
dre-mir-430b-10	ZDB-MIRNAG-050608-7
si:ch211-197k17.3	
barhl1a	ZDB-GENE-050417-212
cpne9	
AL773558.1	
lat	ZDB-GENE-181226-1
dre-let-7a-3	
pth2rb	ZDB-GENE-050208-334
zgc:112163	ZDB-GENE-050417-227
cald1b	ZDB-GENE-090313-229
eri1	ZDB-GENE-050522-39
dgkza	ZDB-GENE-111104-3
sema4ba	ZDB-GENE-070705-31
si:ch211-282b22.1	
slbp	ZDB-GENE-030131-9686
znf1066	
ppm1ba	ZDB-GENE-991102-16
si:dkey-276j7.2	ZDB-GENE-131127-420
BX465186.1	
cpeb2	
si:ch211-33e4.3	
yap1	ZDB-GENE-030131-9710
cilp	ZDB-GENE-050208-76
rnf145b	ZDB-GENE-030131-5264
synpo2la	ZDB-GENE-090828-4
fyco1b	ZDB-GENE-130326-1
CR759907.3	
pogza	ZDB-GENE-040914-76
dhx36	ZDB-GENE-050419-20
si:ch211-106j21.4	
glrx2	ZDB-GENE-040718-101
zgc:66479	ZDB-GENE-031030-10
znrf3	ZDB-GENE-070705-263
si:ch73-54f23.4	ZDB-GENE-160113-43
CU367852.13	
itga10	ZDB-GENE-100922-54
ncf2	ZDB-GENE-070209-29
BX548246.1	
CU695215.2	
ndufb11	ZDB-GENE-050309-25
dre-mir-194a	
BX322647.1	
GFUS	
fer	ZDB-GENE-060526-234
chrm1a	ZDB-GENE-090410-9
FP236157.2	
ms4a17c.2	
CU462817.6	
AL928707.1	
si:dkey-197i20.6	
zgc:163098	ZDB-GENE-070410-141
sprn	ZDB-GENE-031110-1
LO018260.3	
mtss1	ZDB-GENE-081105-141
BX005042.1	
ccl39.5	
pfdn1	ZDB-GENE-050306-50
nit1	ZDB-GENE-040912-65
prr11	ZDB-GENE-091118-97
ldhba	ZDB-GENE-991026-6
inpp5jb	ZDB-GENE-081104-46
si:dkey-35h6.1	
ar	ZDB-GENE-060131-1
nr4a3	ZDB-GENE-070824-4
med16	ZDB-GENE-090306-4
CU467822.1	
rapgef2	
CR381579.1	
CR388390.14	
golph3	
CT027815.1	
CT573787.1	
slc24a5	ZDB-GENE-031210-1
tspan14	ZDB-GENE-060825-329
acap2	
fdx1b	ZDB-GENE-060526-382
ubxn10	ZDB-GENE-060825-319
serpine2	ZDB-GENE-040426-848
sgk1	ZDB-GENE-030131-2860
tradv6.0.3	
setd1bb	ZDB-GENE-080522-1
UTP14C	
ppp1r1b	ZDB-GENE-120126-1
ptpn22	ZDB-GENE-060503-458
BX000700.23	
crlf3	ZDB-GENE-050417-354
foxi3b	ZDB-GENE-031126-4
CR450764.10	
zgc:172128	ZDB-GENE-080220-2
gopc	ZDB-GENE-030131-5086
BX465208.1	
grk5l	ZDB-GENE-081105-95
BX119902.2	
tmem102	ZDB-GENE-160728-39
acadm	ZDB-GENE-040426-1945
si:ch211-194m7.8	ZDB-GENE-120709-95
zgc:162160	
asb2a.1	ZDB-GENE-030131-5355
si:dkey-238n5.3	
syncripl	ZDB-GENE-030131-3104
LO017875.1	
ccsapb	ZDB-GENE-081107-51
diaph3	ZDB-GENE-040801-144
kidins220a	ZDB-GENE-041014-170
nol8	ZDB-GENE-050208-491
map3k7cl	ZDB-GENE-091204-239
si:ch1073-322p19.1	ZDB-GENE-091204-224
nufip2	ZDB-GENE-041111-7
si:dkey-85k7.7	ZDB-GENE-040128-7
BX663521.5	
BX649468.1	
si:ch1073-286c18.5	
rbm15	ZDB-GENE-041008-192
BX936317.1	
BX511138.1	
map1sb	ZDB-GENE-070912-412
CR388417.1	
znf45l	ZDB-GENE-050320-63
tprb	ZDB-GENE-030131-6410
amh	ZDB-GENE-050706-192
fgf20b	ZDB-GENE-060117-5
si:dkeyp-115d7.2	
fgl2b	ZDB-GENE-120709-53
si:dkey-182g1.10	ZDB-GENE-141216-134
BX511024.1	
FAM83G	
chst15	ZDB-GENE-131127-327
best1	ZDB-GENE-110411-214
uts1	ZDB-GENE-041014-348
gja5a	ZDB-GENE-040407-3
BX248392.2	
si:dkeyp-75b4.10	
BX530407.2	
BX324151.1	
zgc:112496	ZDB-GENE-050320-25
si:dkey-4e7.3	ZDB-GENE-070912-542
si:dkey-1c7.3	ZDB-GENE-121214-189
si:ch211-93g21.1	
CABZ01027551.1	
BX546499.1	
cldn5a	ZDB-GENE-040426-2442
her5	ZDB-GENE-990415-90
si:dkey-119f1.1	ZDB-GENE-070705-287
pgp	ZDB-GENE-030131-6240
myct1a	ZDB-GENE-041001-143
capzb	ZDB-GENE-030131-7023
si:ch211-8c17.3	
epha4b	ZDB-GENE-030826-6
LO017832.1	
hint3	ZDB-GENE-100922-168
BX663611.2	
si:ch211-152f2.1	
trappc13	ZDB-GENE-030131-9775
BX005085.2	
msantd4	ZDB-GENE-121023-2
zdhhc9	ZDB-GENE-071004-8
neu3.4	ZDB-GENE-071220-1
ftr34	ZDB-GENE-070912-110
bada	ZDB-GENE-030131-2378
shisa6	ZDB-GENE-240531-1
fam89a	ZDB-GENE-111019-1
abhd10a	ZDB-GENE-060526-144
scel	ZDB-GENE-030616-15
kmt2a	ZDB-GENE-080521-3
l2hgdh	ZDB-GENE-090319-6
kcnt1	
zgc:163080	
jpt2	ZDB-GENE-030131-599
klf3	ZDB-GENE-011116-1
BX470188.1	
csnk2a2b	ZDB-GENE-090406-4
BX088654.1	
BX511034.5	
BX649394.5	
pah	ZDB-GENE-031006-2
CU856358.1	
abcc5	ZDB-GENE-050517-17
plxna4	ZDB-GENE-030131-4663
si:dkey-61p9.7	ZDB-GENE-041210-241
utp18	ZDB-GENE-060929-668
dre-mir-9-7	
nanos2	ZDB-GENE-130321-1
rassf9	
si:dkey-231j24.3	
BX927130.2	
dre-mir-722	ZDB-MIRNAG-090929-299
ppp1r8a	ZDB-GENE-060503-681
exoc6b	ZDB-GENE-060929-132
CU928088.1	
CU019641.3	
CR392363.2	
ankrd46a	ZDB-GENE-030131-2643
foxo1a	ZDB-GENE-061013-59
cbx3a	ZDB-GENE-030131-1158
CR385078.4	
si:ch211-139g16.8	ZDB-GENE-100922-126
cntn3a.1	ZDB-GENE-081030-10
asb6	ZDB-GENE-050522-338
tbpl1	ZDB-GENE-040520-2
BX890629.2	
dcaf12	ZDB-GENE-061013-363
cuzd1.2	ZDB-GENE-131119-30
sgo1	ZDB-GENE-070112-422
st6galnac1.1	ZDB-GENE-041014-160
nelfa	ZDB-GENE-030131-6400
fgfr1op2	ZDB-GENE-030131-7451
otpa	ZDB-GENE-070216-1
tmem119a	
si:dkey-112e7.2	
LO017852.3	
tbx2b	ZDB-GENE-990726-27
ak8	ZDB-GENE-050522-275
rims2a	ZDB-GENE-040426-1656
sec22c	ZDB-GENE-060227-2
nr5a1a	ZDB-GENE-010504-1
BX322574.1	
rbl2	ZDB-GENE-061109-2
ik	ZDB-GENE-030131-960
gdi2	ZDB-GENE-030131-2485
si:ch211-225k7.5	ZDB-GENE-060503-123
dnm1b	ZDB-GENE-100920-3
CR352297.1	
si:ch211-116o3.3	
si:dkey-188g12.1	ZDB-GENE-070705-332
BX470264.1	
CR790380.1	
mical1	ZDB-GENE-081022-3
tekt3	ZDB-GENE-080130-2
cd248a	ZDB-GENE-030131-2084
zgc:158417	ZDB-GENE-061201-36
AL929290.1	
skp1	ZDB-GENE-040426-1707
CU138509.1	
BX322575.1	
si:ch211-161n3.5	
BX571796.1	
traj59	
zgc:91890	
CU467823.1	
CR533578.3	
mn1b	ZDB-GENE-080917-23
kdm4b	ZDB-GENE-060503-664
fbxo33	ZDB-GENE-100618-2
satb2	ZDB-GENE-070912-212
eif4e1b	ZDB-GENE-980526-127
ndufv3	ZDB-GENE-030131-6500
adrm1	ZDB-GENE-040426-905
calcrla	ZDB-GENE-040822-26
PLPP7	
zgc:162171	ZDB-GENE-070424-24
wnt7ba	ZDB-GENE-041210-178
CABZ01060113.2	
si:ch211-14k19.8	
BX005153.2	
ADAMTS7	
si:dkeyp-85d8.5	
si:ch73-119p20.1	ZDB-GENE-141216-395
aph1b	ZDB-GENE-031118-31
kcnk3b	ZDB-GENE-120709-43
AL928920.3	
si:zfos-754c12.2	
CR388390.8	
acta1b	ZDB-GENE-030131-55
pdha1b	ZDB-GENE-040718-96
BX942815.5	
tuba1c	ZDB-GENE-061114-1
steap2	ZDB-GENE-131121-79
lrp5	ZDB-GENE-050518-2
rad23b	ZDB-GENE-040426-1487
mfsd9	ZDB-GENE-070912-190
si:dkey-31g16.2	
slain2	ZDB-GENE-041014-251
cox4i1l	ZDB-GENE-130814-2
sgsm3	ZDB-GENE-040426-2635
mdm2	ZDB-GENE-990415-153
ehhadh	ZDB-GENE-040426-2581
FP101887.1	
espnlb	ZDB-GENE-070912-481
mettl6	ZDB-GENE-040426-926
BX950205.2	
BX324164.1	
CU367852.1	
CT573248.1	
isl1l	
hoxd12a	ZDB-GENE-990415-118
ighv4-7	
crebbpb	ZDB-GENE-050302-102
hagh	ZDB-GENE-030131-8921
BX005108.3	
il22	ZDB-GENE-060209-3
igfbp3	ZDB-GENE-040412-1
CU302413.1	
or123-1	
morn5	ZDB-GENE-050522-267
CABZ01055225.1	
AL928908.1	
zmp:0000001228	
CR388364.1	
usp25	ZDB-GENE-040426-2847
zgc:101540	ZDB-GENE-041212-67
rwdd2b	ZDB-GENE-041001-119
wnt7ab	
CR855379.3	
si:ch211-246i5.5	
slc25a1a	ZDB-GENE-040426-1172
chordc1b	ZDB-GENE-040426-1288
clptm1l	ZDB-GENE-040718-75
dazap2	ZDB-GENE-030131-3036
tuba1b	ZDB-GENE-030822-1
znf706	ZDB-GENE-040718-454
ngs	ZDB-GENE-080722-29
zgc:194627	ZDB-GENE-081022-132
ahr2	ZDB-GENE-990714-16
BX324233.1	
zgc:172122	ZDB-GENE-080208-1
si:ch211-132g1.4	ZDB-GENE-090313-26
BX005058.1	
si:ch73-256j6.6	
tfap2e	ZDB-GENE-040426-1455
CT027582.1	
BX465836.2	
zgc:64201	
pimr147	ZDB-GENE-141211-53
ighj2-1	
si:zfos-932h1.3	ZDB-GENE-141222-4
BX901942.2	
smarcb1a	ZDB-GENE-041114-5
angptl3	ZDB-GENE-010817-3
BX005329.3	
snx24	ZDB-GENE-050913-45
tlcd3a	ZDB-GENE-170623-4
insm1b	ZDB-GENE-030131-2602
fat3b	ZDB-GENE-130530-969
kif20bb	ZDB-GENE-030131-9684
uqcc1	ZDB-GENE-060929-1034
rnf114	ZDB-GENE-040813-1
blcap	ZDB-GENE-000330-7
fam189a1	ZDB-GENE-040718-129
kdsr	ZDB-GENE-040426-853
duox2	
zgc:194655	ZDB-GENE-081022-137
znf576.2	ZDB-GENE-030131-1738
ift88	ZDB-GENE-030131-574
ighv1-3	
apex2	ZDB-GENE-040426-835
dnaja3b	ZDB-GENE-040115-3
CR388047.1	
tlx1	ZDB-GENE-021021-2
mthfs	ZDB-GENE-130103-5
dlg4a	
FO704610.1	
CT573178.1	
spata7	ZDB-GENE-050419-61
si:ch211-194p6.7	
prkar2aa	ZDB-GENE-030131-1007
birc2	ZDB-GENE-030825-6
FP245452.1	
fam160a2	
CABZ01062796.1	
ttbk1a	ZDB-GENE-100609-4
plp1b	ZDB-GENE-030710-6
gas2l3	ZDB-GENE-030131-2560
crha	
bach2a	ZDB-GENE-120525-2
pimr120	ZDB-GENE-141215-29
gja8b	ZDB-GENE-010607-3
LRRTM4	
AL929161.1	
rbm24a	ZDB-GENE-040628-1
adcy2b	ZDB-GENE-060503-69
eif3hb	ZDB-GENE-051030-42
si:rp71-1f1.4	ZDB-GENE-040724-93
kif21a	ZDB-GENE-110411-237
CR812836.1	
traj18	
BX537263.1	
hmgb3b	ZDB-GENE-050417-290
CR925817.2	
si:ch211-182e10.4	ZDB-GENE-041014-76
CR392029.1	
CR356227.3	
lyn	ZDB-GENE-040912-7
rspo2	ZDB-GENE-060503-667
taar16a	
si:dkey-103d23.3	ZDB-GENE-081104-522
FP102192.2	
gdf7	ZDB-GENE-990714-1
CU306817.2	
otx2b	ZDB-GENE-980526-406
si:ch211-191i18.4	ZDB-GENE-060503-15
gata3	ZDB-GENE-990415-82
si:ch73-217b7.1	
CU539058.1	
nlgn3a	ZDB-GENE-071219-1
fgf14	ZDB-GENE-060506-1
kcnj16	
CU928222.1	
BX004972.1	
smad7	ZDB-GENE-030128-3
FP102309.1	
sybu	ZDB-GENE-060929-1202
si:ch211-196h24.1	ZDB-GENE-081103-12
pcdh19	ZDB-GENE-030131-4218
wnt4	ZDB-GENE-980526-352
atp1b1a	ZDB-GENE-001127-3
CABZ01078261.1	
cib1	ZDB-GENE-050417-170
BX511265.5	
zc3h7ba	ZDB-GENE-030131-4512
b3gnt3.4	ZDB-GENE-030131-8875
CT027646.2	
senp3b	ZDB-GENE-030131-6714
gorasp1a	ZDB-GENE-030826-23
glra4b	ZDB-GENE-020402-2
si:ch211-217i17.1	ZDB-GENE-131122-15
rbbp8	ZDB-GENE-050220-14
olfcq8	ZDB-GENE-050419-176
CU179658.1	
cbln14	ZDB-GENE-040724-5
sh3bp5b	ZDB-GENE-040426-2813
pvalb1	ZDB-GENE-040625-57
CABZ01030282.1	
CU062666.1	
triobpa	ZDB-GENE-110411-40
slc19a2	ZDB-GENE-110411-262
si:ch211-194h1.2	
si:dkey-7f16.3	
mtif2	ZDB-GENE-030131-1092
ccdc172	ZDB-GENE-090313-1
pafah1b1b	ZDB-GENE-040116-3
tfe3b	ZDB-GENE-010919-3
ewsr1a	ZDB-GENE-030131-2317
BX681417.13	
zbtb39	ZDB-GENE-130822-1
CABZ01080568.1	
FP015866.3	
hecw2a	ZDB-GENE-090311-22
adka	ZDB-GENE-030425-3
slc19a3b	ZDB-GENE-050419-166
CR847548.1	
gpr171	ZDB-GENE-131121-339
dock9b	ZDB-GENE-090916-2
slc3a2a	ZDB-GENE-000831-3
nyap2b	ZDB-GENE-070705-169
npffr1l3	ZDB-GENE-070424-44
myrip	
arvcfb	ZDB-GENE-060526-60
FP101875.2	
BX120006.2	
BX927193.11	
si:ch211-81a5.8	ZDB-GENE-060503-138
tcirg1b	ZDB-GENE-040426-2022
mc5ra	ZDB-GENE-021223-3
CT030017.3	
si:ch211-261d7.6	ZDB-GENE-141216-266
gpsm2	ZDB-GENE-040426-1169
CR339059.4	
CT737123.1	
tmem60	ZDB-GENE-040801-222
si:dkey-234l24.1	
eif4g1a	ZDB-GENE-070112-702
pcdh17	ZDB-GENE-090608-3
si:dkey-34d22.3	
zgc:162239	ZDB-GENE-070424-28
espn	ZDB-GENE-081105-173
smpd4	ZDB-GENE-040426-2672
zgc:174698	ZDB-GENE-080204-74
frrs1l	ZDB-GENE-120827-1
arhgap1	ZDB-GENE-050417-305
foxf2a	ZDB-GENE-110407-5
si:ch211-138g9.3	
si:ch211-113e8.11	ZDB-GENE-090313-12
zgc:153968	ZDB-GENE-061027-211
si:dkeyp-4f2.6	
wdr27	ZDB-GENE-051120-93
si:ch211-117l17.6	ZDB-GENE-110914-213
trim108	ZDB-GENE-060503-670
tradv5.0.1	
AL935034.1	
BX928743.3	
jac4	ZDB-GENE-030131-8643
dre-mir-7147	
prss1	ZDB-GENE-010131-7
CU104782.2	
znf1033	
tmem63a	ZDB-GENE-041210-107
AL929029.8	
tradv30.0.1	
znf1030	
CU856520.1	
mhc1lfa	ZDB-GENE-140820-7
fzd7a	ZDB-GENE-990415-223
aplnra	ZDB-GENE-060929-512
tppp3	ZDB-GENE-040426-1909
fut9a	ZDB-GENE-080723-75
uggt1	ZDB-GENE-061103-619
espnla	ZDB-GENE-131121-3
si:ch211-237i5.4	ZDB-GENE-131121-468
BX571828.1	
lrrc8aa	ZDB-GENE-030131-5853
crym	ZDB-GENE-070112-1782
cherp	ZDB-GENE-040407-1
lgals3bpa	
BX511268.2	
znf395a	ZDB-GENE-061215-52
ccl20a.3	ZDB-GENE-081022-193
CR383668.1	
pimr163	ZDB-GENE-120214-15
arhgef10la	ZDB-GENE-120814-1
si:ch211-180f4.1	ZDB-GENE-080327-27
unk	ZDB-GENE-040426-707
id3	ZDB-GENE-020515-1
CT009570.1	
slx1b	ZDB-GENE-130530-826
FO704724.2	
cbr1	ZDB-GENE-030902-2
si:ch211-242f23.3	
CR974456.1	
st7	ZDB-GENE-060421-2807
fam110c	ZDB-GENE-131121-63
strc	
fah	ZDB-GENE-030131-1091
furinb	ZDB-GENE-040901-2
pomca	ZDB-GENE-030513-2
CR396585.1	
FP015862.2	
si:ch211-215a10.4	ZDB-GENE-030131-5518
cog7	ZDB-GENE-061013-463
htr7b	ZDB-GENE-091118-105
si:dkey-11o1.6	
znf831	ZDB-GENE-081022-210
fam49a	ZDB-GENE-031002-50
lrrc3	ZDB-GENE-080327-13
knstrn	ZDB-GENE-081022-187
dre-mir-129-4	
rundc3ab	ZDB-GENE-040426-842
CR392012.2	
rho	ZDB-GENE-990415-271
BX510917.1	
spag6	ZDB-GENE-040704-53
vps18	ZDB-GENE-020419-33
eif3ea	ZDB-GENE-030131-3827
kctd17	ZDB-GENE-130531-80
BX323797.3	
CU467964.1	
atox1	ZDB-GENE-120720-2
camk2d2	ZDB-GENE-040718-277
rsrc1	ZDB-GENE-040426-2374
scxb	ZDB-GENE-090806-1
id4	ZDB-GENE-051113-208
lzts3a	ZDB-GENE-060313-2
rasgrf2b	ZDB-GENE-060504-1
taf15	ZDB-GENE-061215-102
gpx7	ZDB-GENE-050522-419
egln2	ZDB-GENE-060503-757
si:ch211-165g14.1	ZDB-GENE-131127-601
kif16bb	ZDB-GENE-070424-241
pimr26	
CU855906.1	
dhx57	ZDB-GENE-030131-4078
rnf44	ZDB-GENE-060929-604
tnfa	ZDB-GENE-050317-1
mettl26	ZDB-GENE-031118-200
FP102018.1	
ugt5e1	ZDB-GENE-081105-106
plekhg6	ZDB-GENE-030131-2517
CR792417.1	
hic1	ZDB-GENE-040713-2
ndufb7	ZDB-GENE-040426-1886
pld2	ZDB-GENE-060216-4
si:dkey-31e10.5	
CR626887.2	
si:ch211-241n15.3	
BX004980.1	
CU469458.1	
BX005396.4	
si:ch73-59f11.3	ZDB-GENE-131121-446
irs2a	ZDB-GENE-040426-975
AL954322.2	
atp2a2a	ZDB-GENE-040426-702
usp10	ZDB-GENE-030219-132
txnrd2.1	
mob3a	ZDB-GENE-030131-4091
CU464184.1	
pkp1a	
si:ch211-286b5.2	ZDB-GENE-121214-251
mcph1	ZDB-GENE-060421-6122
CR931763.1	
FP236157.5	
AL929005.1	
AL645691.3	
si:dkey-246g23.2	ZDB-GENE-050419-100
ercc6	ZDB-GENE-070228-1
pou3f2b	ZDB-GENE-980526-370
si:ch73-382f3.1	ZDB-GENE-030131-9513
pimr93	
ighv4-1	ZDB-GENE-040514-6
fuca1.1	ZDB-GENE-030131-7434
AL845481.1	
FP236318.5	
FO904989.1	
FO082819.1	
il12rb2	ZDB-GENE-080107-3
scml4	ZDB-GENE-041210-338
sgcg	ZDB-GENE-030724-2
gtse1	ZDB-GENE-050522-493
ppp2r5ea	ZDB-GENE-030904-7
mucms1	
CR376737.1	
CT025909.4	
cul5b	ZDB-GENE-091113-45
CU861903.1	
BX511056.4	
dgat1a	ZDB-GENE-030131-4600
igsf11	ZDB-GENE-080303-21
klhl26	ZDB-GENE-030131-5975
znf1035	ZDB-GENE-050309-241
si:dkey-13m1.2	
CR381540.3	
clocka	ZDB-GENE-990630-14
flvcr2b	ZDB-GENE-041210-312
si:dkeyp-107f9.1	
zfand5b	ZDB-GENE-040426-875
BX649247.1	
BX000991.2	
CU459012.3	
zgc:153920	
nme2b.2	ZDB-GENE-000210-33
CR450740.1	
CABZ01088036.1	
znf609a	ZDB-GENE-030131-6219
armt1	ZDB-GENE-050327-51
FO904970.1	
CU302223.1	
tmem44	ZDB-GENE-060825-65
kidins220b	ZDB-GENE-030131-7824
glra1	ZDB-GENE-991117-1
gga1	ZDB-GENE-040822-13
aifm5	ZDB-GENE-091118-96
BX247865.3	
trim46b	ZDB-GENE-060503-466
slc7a2	ZDB-GENE-041212-5
nucks1a	ZDB-GENE-040912-175
gabarapl2	ZDB-GENE-040718-336
tnk2b	ZDB-GENE-110411-165
il2rgb	ZDB-GENE-080402-2
znf1118	
BX005003.1	
saraf	ZDB-GENE-060929-208
grem1a	ZDB-GENE-040625-1
si:dkey-176f19.7	
ttbk1b	ZDB-GENE-100609-5
stag3	ZDB-GENE-140106-130
BX005367.2	
rock1	ZDB-GENE-100712-2
slco1f1	ZDB-GENE-040426-2192
mdc1	ZDB-GENE-060810-185
CR388140.1	
BX663499.1	
si:ch211-256e16.8	
dre-mir-2185-1	
dock7	ZDB-GENE-050302-15
CU468012.2	
abch1	ZDB-GENE-050517-42
dre-mir-365-2	ZDB-MIRNAG-090929-206
si:rp71-79p20.2	
ccdc120	
cspp1a	
pot1	ZDB-GENE-110324-1
nfil3	ZDB-GENE-040822-28
mfap1	ZDB-GENE-040426-1075
vimr2	ZDB-GENE-160113-76
cysltr3	ZDB-GENE-131127-536
si:ch211-132e22.4	ZDB-GENE-130530-934
fam199x	ZDB-GENE-040808-24
CU571081.1	
CT956002.1	
zgc:173624	ZDB-GENE-071004-60
tmtops2b	ZDB-GENE-110411-43
ppp4r1	ZDB-GENE-040426-753
FP016142.4	
znf971	ZDB-GENE-050306-52
kcna2b	ZDB-GENE-080204-89
gstk1	ZDB-GENE-040718-298
si:ch211-232i5.1	
umps	ZDB-GENE-040426-785
si:dkey-238c7.16	ZDB-GENE-030131-4169
sh3bp1	ZDB-GENE-121128-2
si:ch211-1f22.12	
dre-let-7a-1	
BX571813.6	
ftr56	ZDB-GENE-030131-2801
fth1b	ZDB-GENE-040912-30
si:dkey-111e8.5	ZDB-GENE-060526-192
si:dkey-220k22.1	ZDB-GENE-060526-255
CABZ01058650.1	
chrna7	
enpp6	ZDB-GENE-031205-1
si:dkey-247i3.1	
hsd17b3	ZDB-GENE-040426-1339
CZQB01123183.1	
atp8b1	ZDB-GENE-091116-14
si:dkey-7i4.24	ZDB-GENE-030131-1157
gxylt2	ZDB-GENE-070424-64
BX284666.2	
si:ch1073-82l19.1	
si:ch211-125e6.11	ZDB-GENE-070912-35
CT998554.1	
htr3b	
pip5k1cb	ZDB-GENE-110408-21
gna12a	ZDB-GENE-050221-1
usp46	ZDB-GENE-070705-213
CR377220.1	
atxn7l2b	ZDB-GENE-040718-403
cadps2	ZDB-GENE-030903-1
si:dkey-269p2.1	
cnga1b	ZDB-GENE-110408-39
surf4	ZDB-GENE-040426-1426
ca8	ZDB-GENE-050417-26
trappc4	ZDB-GENE-040426-1734
mtmr7a	ZDB-GENE-060421-7754
rxfp2a	ZDB-GENE-040426-1225
ccl25b	ZDB-GENE-110222-2
scn4bb	ZDB-GENE-031116-71
lamtor1	ZDB-GENE-130819-1
bmp6	ZDB-GENE-050306-42
CU041397.1	
pola1	ZDB-GENE-030114-9
CU468723.2	
BX649490.2	
BX248512.1	
CABZ01086029.1	
mff	
actc1b	ZDB-GENE-000322-1
BX649612.2	
si:dkey-92i15.4	ZDB-GENE-030131-8422
slc39a10	ZDB-GENE-040426-1157
eomesb	ZDB-GENE-070318-1
lrrc39	ZDB-GENE-050417-279
BX323062.1	
CABZ01072077.1	
